transaction_id,user_id,amount,transaction_type,device_type,location,time_of_day,transaction_hour,is_international,previous_transactions,failed_transactions,account_age_days,is_fraud,Date,Transaction Platform
T00001,U255,43574.75,online,tablet,Singapore,morning,9,1,115,Yes,35,0,04/09/2017,PhonePe
T00002,U661,104351.51,online,desktop,Singapore,night,1,1,15,Yes,598,1,18/02/2020,GPay
T00003,U325,211864.52,POS,tablet,Dubai,afternoon,13,1,135,Yes,550,1,29/05/2020,BharatPe
T00004,U327,280370.03,online,tablet,Kolkata,afternoon,15,0,129,Yes,42,1,18/07/2022,GPay
T00005,U143,216222.76,online,desktop,Delhi,evening,17,0,11,Yes,791,0,05/07/2021,BharatPe
T00006,U324,156210.96,ATM,mobile,Pune,afternoon,15,0,26,Yes,573,0,11/01/2016,PhonePe
T00007,U497,139215.46,transfer,mobile,Bangalore,night,4,0,9,Yes,113,0,08/07/2023,Paypal
T00008,U387,79802.98,transfer,desktop,Delhi,evening,19,0,197,Yes,73,1,24/12/2024,PhonePe
T00009,U109,60807.93,POS,desktop,Chennai,morning,10,0,72,Yes,890,0,11/04/2018,Others
T00010,U203,138341.53,online,desktop,Kolkata,night,23,0,97,Yes,911,0,01/03/2020,Paytm
T00011,U522,211166.34,POS,tablet,New York,night,21,1,153,Yes,465,1,04/05/2017,BharatPe
T00012,U168,266846.77,ATM,mobile,Delhi,night,21,0,63,Yes,412,1,01/11/2024,BharatPe
T00013,U760,212059.73,online,desktop,Delhi,afternoon,12,0,34,Yes,727,1,02/11/2020,Paytm
T00014,U129,60121.01,online,tablet,Dubai,evening,19,1,1,Yes,204,1,27/09/2022,Others
T00015,U630,39090.19,POS,mobile,Kolkata,night,2,0,194,Yes,763,0,09/12/2018,Paypal
T00016,U955,162116.76,online,desktop,Dubai,evening,20,1,122,Yes,313,1,26/07/2024,Paypal
T00017,U309,49326.36,online,desktop,Chennai,night,3,0,199,No,975,0,06/05/2016,Paytm
T00018,U656,160006.25,ATM,desktop,Mumbai,morning,10,0,19,Yes,784,0,21/04/2021,Others
T00019,U889,258083.09,POS,tablet,Singapore,afternoon,12,1,41,Yes,315,1,03/08/2017,GPay
T00020,U946,177054.1,POS,tablet,Singapore,morning,5,1,37,Yes,54,1,14/02/2018,Paytm
T00021,U167,217854.63,ATM,mobile,Dubai,evening,18,1,73,Yes,542,1,10/07/2018,BharatPe
T00022,U694,230618.06,online,tablet,Singapore,night,3,1,15,Yes,55,1,30/11/2021,Others
T00023,U474,194690.24,ATM,desktop,Pune,night,1,0,47,Yes,736,1,19/08/2024,Paytm
T00024,U120,167847.76,ATM,mobile,Chennai,night,0,0,174,Yes,482,0,04/11/2022,BharatPe
T00025,U988,20938.29,online,mobile,Mumbai,afternoon,13,0,95,Yes,736,0,24/02/2021,PhonePe
T00026,U749,154122.25,online,mobile,Dubai,afternoon,16,1,92,Yes,36,1,26/10/2018,GPay
T00027,U773,289468.49,transfer,desktop,Singapore,afternoon,15,1,74,Yes,598,1,15/03/2025,Others
T00028,U297,120642.22,transfer,mobile,Singapore,night,22,1,3,Yes,873,1,23/02/2023,Paypal
T00029,U196,84305.29,online,mobile,Delhi,night,3,0,149,Yes,833,1,16/02/2023,BharatPe
T00030,U844,182181.47,transfer,tablet,Chennai,evening,18,0,174,Yes,716,1,10/08/2021,PhonePe
T00031,U914,144944.08,online,mobile,Bangalore,morning,6,0,71,Yes,848,0,14/12/2018,PhonePe
T00032,U589,295467.65,POS,tablet,Pune,afternoon,12,0,38,Yes,520,1,28/10/2021,GPay
T00033,U733,48203.48,transfer,desktop,Dubai,morning,5,1,120,Yes,512,0,05/01/2022,PhonePe
T00034,U786,229382.59,ATM,desktop,Dubai,night,23,1,152,Yes,578,1,09/08/2017,PhonePe
T00035,U411,286155.71,POS,tablet,Chennai,night,3,0,120,Yes,114,1,30/01/2022,PhonePe
T00036,U153,216760.8,transfer,desktop,Mumbai,night,4,0,71,Yes,815,1,25/12/2022,BharatPe
T00037,U841,29832.68,online,desktop,New York,night,23,1,141,Yes,54,0,08/01/2017,Paypal
T00038,U967,162954.0,online,tablet,Pune,afternoon,14,0,36,Yes,436,1,03/06/2022,PhonePe
T00039,U431,150933.65,online,tablet,London,evening,17,1,164,No,826,1,28/02/2023,Others
T00040,U475,96161.3,transfer,mobile,Pune,evening,19,0,143,Yes,118,1,25/01/2021,Paypal
T00041,U413,294456.08,POS,mobile,Singapore,afternoon,12,1,13,Yes,694,1,15/06/2016,BharatPe
T00042,U909,29100.95,ATM,desktop,Delhi,morning,10,0,24,Yes,571,0,11/04/2020,Paytm
T00043,U283,157725.45,POS,desktop,Mumbai,morning,8,0,1,Yes,968,1,03/11/2020,Paypal
T00044,U296,35598.47,transfer,mobile,Dubai,afternoon,12,1,103,Yes,147,0,17/06/2018,GPay
T00045,U576,134186.75,POS,tablet,New York,night,22,1,32,Yes,162,1,17/03/2017,GPay
T00046,U859,80201.25,transfer,tablet,Singapore,morning,11,1,187,Yes,843,0,17/05/2019,Paypal
T00047,U409,105612.43,online,desktop,Chennai,morning,10,0,31,Yes,83,1,22/11/2017,Paytm
T00048,U770,139252.02,online,desktop,New York,night,22,1,44,Yes,416,1,15/09/2018,GPay
T00049,U612,266432.78,ATM,mobile,New York,evening,20,1,46,Yes,151,1,11/12/2020,Paypal
T00050,U250,125965.85,POS,tablet,Singapore,night,21,1,134,Yes,528,1,20/09/2018,Paypal
T00051,U778,192604.84,ATM,tablet,Chennai,night,22,0,64,Yes,626,0,23/10/2019,BharatPe
T00052,U411,183221.5,POS,tablet,Mumbai,afternoon,15,0,158,Yes,959,0,27/08/2025,Others
T00053,U558,258059.03,transfer,desktop,Dubai,night,0,1,166,Yes,887,1,04/09/2025,PhonePe
T00054,U447,139862.52,transfer,desktop,Chennai,night,3,0,185,Yes,678,1,18/08/2021,GPay
T00055,U815,190859.52,ATM,desktop,London,afternoon,14,1,62,Yes,263,1,25/09/2022,PhonePe
T00056,U732,62094.44,POS,desktop,Chennai,afternoon,13,0,119,Yes,484,1,05/02/2020,BharatPe
T00057,U329,250420.56,online,tablet,Singapore,afternoon,12,1,139,Yes,290,1,22/02/2023,GPay
T00058,U327,159399.92,transfer,desktop,Delhi,evening,18,0,44,Yes,864,0,16/04/2017,Others
T00059,U542,708.46,online,tablet,Bangalore,night,3,0,14,Yes,485,0,06/07/2018,Paypal
T00060,U762,87486.08,POS,desktop,Pune,evening,20,0,194,Yes,208,1,03/07/2019,PhonePe
T00061,U812,286967.85,online,mobile,Bangalore,night,21,0,126,Yes,635,0,31/08/2024,Paytm
T00062,U155,56332.35,ATM,mobile,Kolkata,morning,9,0,69,Yes,603,1,23/09/2018,BharatPe
T00063,U808,243470.44,transfer,desktop,Mumbai,night,4,0,106,Yes,188,1,01/04/2017,GPay
T00064,U653,190784.91,transfer,tablet,Bangalore,afternoon,13,0,67,Yes,358,1,11/04/2016,BharatPe
T00065,U735,139073.77,ATM,tablet,Delhi,afternoon,15,0,170,Yes,288,0,08/12/2024,Paytm
T00066,U581,221326.07,transfer,desktop,Kolkata,night,2,0,54,Yes,197,1,15/06/2022,Paypal
T00067,U479,169293.52,online,desktop,Delhi,night,23,0,147,Yes,462,1,16/11/2019,Others
T00068,U768,220916.77,online,tablet,Kolkata,afternoon,14,0,121,Yes,685,0,21/12/2023,BharatPe
T00069,U958,166291.67,POS,mobile,London,night,3,1,180,Yes,404,1,27/08/2020,PhonePe
T00070,U109,273353.96,ATM,mobile,Kolkata,night,22,0,54,Yes,348,1,10/08/2024,Others
T00071,U668,13921.4,ATM,mobile,Dubai,morning,8,1,166,Yes,905,0,10/09/2022,BharatPe
T00072,U801,119176.6,transfer,mobile,Kolkata,afternoon,14,0,30,Yes,325,1,12/05/2019,Paytm
T00073,U626,276683.06,POS,tablet,Mumbai,night,3,0,168,No,911,0,25/01/2020,GPay
T00074,U381,73924.96,POS,mobile,Mumbai,afternoon,12,0,77,Yes,735,1,20/06/2025,Paytm
T00075,U180,7420.7,online,mobile,Bangalore,evening,20,0,127,Yes,472,0,22/06/2019,Paytm
T00076,U725,97800.23,transfer,tablet,Pune,morning,6,0,129,Yes,350,1,17/01/2019,GPay
T00077,U906,185843.5,POS,tablet,Mumbai,afternoon,12,0,145,No,521,0,30/12/2016,Paypal
T00078,U164,267473.64,POS,tablet,Singapore,morning,5,1,9,Yes,95,1,10/07/2017,PhonePe
T00079,U495,157196.99,online,desktop,London,night,21,1,143,Yes,662,1,06/02/2019,GPay
T00080,U401,101146.88,online,mobile,Mumbai,night,1,0,11,Yes,749,1,17/04/2017,Others
T00081,U168,277188.5,transfer,mobile,Pune,evening,19,0,153,Yes,598,0,13/02/2022,Paytm
T00082,U108,1479.75,ATM,mobile,London,night,4,1,151,Yes,417,0,02/04/2020,Paytm
T00083,U472,104614.94,ATM,mobile,Mumbai,night,22,0,166,Yes,255,1,19/07/2018,Paytm
T00084,U436,44496.96,ATM,desktop,London,morning,10,1,154,Yes,233,0,10/06/2020,GPay
T00085,U855,147077.44,online,mobile,London,morning,7,1,25,Yes,916,1,22/07/2022,BharatPe
T00086,U634,12080.77,online,desktop,Chennai,morning,7,0,114,Yes,335,0,26/09/2020,Others
T00087,U445,132353.34,ATM,desktop,New York,afternoon,16,1,101,Yes,806,1,04/04/2023,BharatPe
T00088,U644,9813.53,online,desktop,New York,afternoon,14,1,164,Yes,57,0,22/06/2022,Paypal
T00089,U797,276071.86,transfer,desktop,Dubai,night,4,1,61,Yes,512,1,13/01/2016,GPay
T00090,U631,43307.14,transfer,tablet,Bangalore,night,4,0,176,Yes,701,0,21/01/2019,Others
T00091,U258,72072.78,online,tablet,Kolkata,night,3,0,61,Yes,66,0,11/05/2016,GPay
T00092,U675,54248.66,online,mobile,Chennai,night,21,0,110,Yes,593,1,15/05/2018,GPay
T00093,U866,285418.05,online,mobile,Chennai,morning,6,0,99,Yes,791,0,20/08/2016,PhonePe
T00094,U543,173592.94,online,desktop,Mumbai,morning,5,0,15,Yes,511,0,15/07/2019,PhonePe
T00095,U244,3698.15,POS,desktop,Singapore,evening,18,1,187,Yes,550,0,27/05/2023,BharatPe
T00096,U920,264915.39,transfer,mobile,Dubai,morning,6,1,191,Yes,342,1,28/06/2022,Paypal
T00097,U425,81858.62,ATM,mobile,Dubai,morning,9,1,58,Yes,157,0,07/07/2018,Paytm
T00098,U935,112227.36,transfer,mobile,London,night,3,1,46,Yes,725,1,01/08/2024,GPay
T00099,U580,132863.67,transfer,mobile,Mumbai,afternoon,16,0,6,Yes,392,0,19/07/2025,GPay
T00100,U520,215888.69,POS,desktop,Chennai,afternoon,13,0,195,Yes,793,0,11/10/2023,Paytm
T00101,U281,80953.11,ATM,mobile,Dubai,night,21,1,190,Yes,368,1,28/07/2018,BharatPe
T00102,U978,5019.27,transfer,mobile,London,night,3,1,60,Yes,351,1,04/02/2023,GPay
T00103,U505,226073.56,transfer,tablet,Kolkata,night,1,0,49,Yes,125,1,09/10/2024,BharatPe
T00104,U438,53861.34,ATM,mobile,London,night,21,1,90,Yes,176,1,12/07/2021,Paypal
T00105,U516,232303.11,transfer,tablet,Dubai,evening,18,1,14,Yes,323,1,19/11/2019,BharatPe
T00106,U394,292608.45,POS,desktop,New York,night,0,1,72,Yes,879,1,10/11/2016,GPay
T00107,U529,45283.38,online,desktop,Singapore,night,0,1,45,Yes,433,0,19/09/2016,PhonePe
T00108,U367,179297.31,ATM,mobile,Delhi,afternoon,12,0,96,Yes,534,1,14/05/2020,BharatPe
T00109,U659,165758.94,POS,mobile,Pune,afternoon,16,0,108,Yes,78,1,18/03/2025,Others
T00110,U636,265967.36,ATM,tablet,Pune,afternoon,12,0,33,Yes,564,1,14/04/2023,Paytm
T00111,U418,76711.53,ATM,desktop,Delhi,morning,10,0,111,Yes,571,0,29/03/2019,Paytm
T00112,U738,281291.58,online,desktop,Bangalore,night,0,0,44,Yes,850,0,31/01/2023,GPay
T00113,U585,162350.71,transfer,mobile,Bangalore,night,0,0,55,Yes,452,1,09/04/2022,GPay
T00114,U710,145835.3,transfer,desktop,Kolkata,afternoon,14,0,186,Yes,964,1,11/10/2023,Paypal
T00115,U365,7290.17,transfer,mobile,Singapore,night,2,1,135,Yes,181,1,17/09/2016,PhonePe
T00116,U512,222791.18,ATM,desktop,Chennai,afternoon,14,0,64,Yes,728,0,11/03/2018,GPay
T00117,U830,74558.33,transfer,tablet,Chennai,night,2,0,173,Yes,260,1,16/04/2022,GPay
T00118,U182,176578.36,transfer,tablet,Delhi,night,4,0,179,Yes,341,0,05/02/2017,Others
T00119,U289,134532.35,online,desktop,New York,evening,18,1,104,Yes,562,1,09/02/2023,Others
T00120,U636,37054.63,POS,tablet,New York,night,1,1,148,Yes,99,0,03/05/2022,BharatPe
T00121,U674,1559.8,ATM,tablet,Bangalore,morning,7,0,153,Yes,334,0,21/11/2016,BharatPe
T00122,U564,213941.6,online,tablet,Singapore,morning,5,1,58,Yes,981,1,07/11/2017,Paytm
T00123,U606,288905.28,POS,mobile,Pune,night,23,0,170,Yes,282,1,06/06/2021,PhonePe
T00124,U948,214764.09,POS,mobile,New York,night,23,1,132,Yes,964,1,03/08/2024,GPay
T00125,U861,53221.63,ATM,desktop,Kolkata,morning,8,0,177,Yes,647,1,19/12/2024,PhonePe
T00126,U649,287925.47,POS,desktop,Kolkata,morning,6,0,40,Yes,86,1,05/04/2017,BharatPe
T00127,U278,198358.65,ATM,tablet,Singapore,evening,18,1,111,Yes,62,1,11/09/2024,Paypal
T00128,U823,184222.1,ATM,tablet,Chennai,evening,20,0,74,No,832,0,02/12/2017,GPay
T00129,U556,57241.04,online,mobile,London,night,23,1,2,Yes,601,1,28/11/2025,GPay
T00130,U954,114569.81,POS,tablet,London,evening,18,1,100,Yes,228,1,28/03/2016,GPay
T00131,U865,125283.8,ATM,desktop,New York,morning,7,1,69,Yes,577,1,17/03/2016,PhonePe
T00132,U627,24673.1,online,mobile,Bangalore,night,21,0,10,Yes,585,0,24/04/2017,PhonePe
T00133,U942,297879.67,POS,desktop,Dubai,afternoon,14,1,89,No,272,1,28/01/2021,Others
T00134,U433,175406.48,ATM,desktop,Bangalore,evening,17,0,162,No,607,0,07/11/2017,Paytm
T00135,U596,89918.29,online,tablet,Pune,night,1,0,31,Yes,76,1,05/01/2017,Others
T00136,U731,84267.78,POS,mobile,Bangalore,morning,8,0,107,Yes,780,1,15/08/2021,Paytm
T00137,U885,108158.55,transfer,mobile,Kolkata,night,3,0,178,Yes,867,1,26/02/2017,GPay
T00138,U849,111027.3,ATM,tablet,Bangalore,evening,19,0,68,Yes,273,0,09/01/2019,PhonePe
T00139,U154,191029.11,ATM,tablet,Chennai,morning,5,0,186,No,341,0,10/07/2016,GPay
T00140,U211,71195.17,online,desktop,Singapore,night,3,1,120,Yes,380,1,19/10/2020,GPay
T00141,U217,89804.22,transfer,mobile,Singapore,evening,17,1,37,Yes,343,0,14/11/2018,BharatPe
T00142,U110,148163.85,transfer,desktop,Mumbai,morning,7,0,175,Yes,343,1,25/12/2022,GPay
T00143,U829,137878.95,online,mobile,Dubai,night,22,1,189,Yes,79,1,28/02/2024,Paypal
T00144,U475,39383.37,transfer,desktop,London,morning,7,1,187,Yes,487,0,03/02/2018,GPay
T00145,U951,133500.16,ATM,desktop,Dubai,afternoon,15,1,59,Yes,843,1,04/05/2022,Paytm
T00146,U301,67387.77,ATM,mobile,Dubai,morning,7,1,16,Yes,413,1,09/03/2019,PhonePe
T00147,U126,8404.48,ATM,tablet,Dubai,night,21,1,30,Yes,967,0,05/08/2018,GPay
T00148,U879,65682.14,transfer,desktop,Mumbai,morning,8,0,169,Yes,75,1,21/02/2018,Paytm
T00149,U871,131083.4,ATM,tablet,Kolkata,evening,19,0,107,Yes,880,0,11/07/2021,Paytm
T00150,U798,179962.33,ATM,mobile,Dubai,evening,17,1,105,Yes,770,1,05/08/2021,BharatPe
T00151,U713,66595.26,transfer,desktop,Bangalore,night,3,0,140,Yes,708,1,24/09/2016,GPay
T00152,U224,72327.14,online,desktop,Kolkata,afternoon,12,0,133,Yes,176,0,07/11/2025,PhonePe
T00153,U558,32942.6,online,mobile,Dubai,afternoon,13,1,72,Yes,616,0,09/12/2018,Others
T00154,U483,102752.82,transfer,tablet,New York,afternoon,16,1,192,Yes,790,1,25/09/2018,BharatPe
T00155,U430,236117.73,online,desktop,Bangalore,night,0,0,134,No,382,0,27/01/2021,Paytm
T00156,U232,298554.95,online,tablet,London,evening,20,1,89,Yes,442,1,03/02/2024,GPay
T00157,U536,9808.85,transfer,tablet,Chennai,night,1,0,164,Yes,578,1,01/04/2017,GPay
